
 
Strategy strategy report for EUR/USD instrument(s) from 2025-10-05 21:00:00 to 2025-10-12 20:59:59
Account Currency	EUR
Initial Equity	10’000
Final Equity	4’766.2
Turnover	251’583’937.39
Commission Fees	5267.46

Instrument EUR/USD

First tick time	2025-10-05 21:00:00
First BID	1.17382
First ASK	1.17458
Last tick time	2025-10-10 20:59:59
Last BID	1.16149
Last ASK	1.162
Positions total	383
Closed positions	375
Orders total	1470
Amount bought	125.26
Amount sold	125.08
Turnover	251’583’937.39
Commission Fees	5261.66

Opened orders:

Label	Amount	Direction	Open price	Profit/Loss at the end	Profit/Loss at the end in pips	Open date	Comment
MC_1	0.86332	BUY	1.1646389	-2342.88	-31.5	2025-10-08 13:15:53	MC
random_order_1416	0.349545	SELL	1.1616037	-119.38	-4.0	2025-10-10 16:18:00	
random_order_1417	0.012461	SELL	1.1613137	-7.37	-6.9	2025-10-10 16:23:00	
WE_MC_2	0.39159	BUY	1.1602138	429.65	12.8	2025-10-10 18:00:00	MC
random_order_1439	0.025036	SELL	1.1609837	-298.54	-9.44	2025-10-10 18:29:00	
random_order_1440	0.040553	SELL	1.1609537	-296.81	-9.23	2025-10-10 18:30:00	
random_order_1441	0.320718	SELL	1.1610737	-266.28	-0.32	2025-10-10 18:39:00	
random_order_1468	0.32537	SELL	1.1619737	-7.38	-0.3	2025-10-10 20:53:00	

Closed orders:

Label	Amount	Direction	Open price	Close price	Profit/Loss	Profit/Loss in pips	Open date	Close date	Comment
2025-10-06 21:07:00	Order submitted	Order [random_order_296, EUR/USD, SELL, 1000000.0 at 0.0] submitted by the strategy
2025-10-06 21:07:00	Order canceled	Order [random_order_296, EUR/USD, SELL, 1000000.0 at 0.0] canceled because no margin available
2025-10-06 21:11:00	Order submitted	Order [random_order_297, EUR/USD, SELL, 1000000.0 at 0.0] submitted by the strategy
2025-10-06 21:11:00	Order canceled	Order [random_order_297, EUR/USD, SELL, 1000000.0 at 0.0] canceled because no margin available
2025-10-06 21:13:00	Order submitted	Order [random_order_298, EUR/USD, SELL, 1000000.0 at 0.0] submitted by the strategy
2025-10-06 21:13:00	Order canceled	Order [random_order_298, EUR/USD, SELL, 1000000.0 at 0.0] canceled because no margin available
2025-10-06 21:18:00	Order submitted	Order [random_order_299, EUR/USD, SELL, 1000000.0 at 0.0] submitted by the strategy
2025-10-06 21:18:00	Order canceled	Order [random_order_299, EUR/USD, SELL, 1000000.0 at 0.0] canceled because no margin available
2025-10-06 21:29:00	Order submitted	Order [random_order_300, EUR/USD, SELL, 1000000.0 at 0.0] submitted by the strategy
2025-10-06 21:29:00	Order canceled	Order [random_order_300, EUR/USD, SELL, 1000000.0 at 0.0] canceled because no margin available
2025-10-06 21:36:00	Order submitted	Order [random_order_301, EUR/USD, SELL, 1000000.0 at 0.0] submitted by the strategy
2025-10-06 21:36:00	Order canceled	Order [random_order_301, EUR/USD, SELL, 1000000.0 at 0.0] canceled because no margin available
2025-10-06 21:44:00	Order submitted	Order [random_order_302, EUR/USD, SELL, 1000000.0 at 0.0] submitted by the strategy
2025-10-06 21:44:00	Order canceled	Order [random_order_302, EUR/USD, SELL, 1000000.0 at 0.0] canceled because no margin available
2025-10-06 21:49:00	Order submitted	Order [random_order_303, EUR/USD, SELL, 1000000.0 at 0.0] submitted by the strategy
2025-10-06 21:49:00	Order canceled	Order [random_order_303, EUR/USD, SELL, 1000000.0 at 0.0] canceled because no margin available
2025-10-06 21:50:00	Order submitted	Order [random_order_304, EUR/USD, SELL, 1000000.0 at 0.0] submitted by the strategy
2025-10-06 21:50:00	Order canceled	Order [random_order_304, EUR/USD, SELL, 1000000.0 at 0.0] canceled because no margin available
2025-10-06 21:54:00	Order submitted	Order [random_order_305, EUR/USD, SELL, 1000000.0 at 0.0] submitted by the strategy
2025-10-06 21:54:00	Order canceled	Order [random_order_305, EUR/USD, SELL, 1000000.0 at 0.0] canceled because no margin available
